citation,pmid
"Gartner A, Milstein S, Ahmed S, Hodgkin J, Hengartner MO. A conserved checkpoint pathway mediates DNA damage--induced apoptosis and cell cycle arrest in C. elegans. Mol Cell. 2000 Mar;5(3):435–43.",10882129
"Derry WB, Putzke AP, Rothman JH. Caenorhabditis elegans p53: role in apoptosis, meiosis, and stress resistance. Science. 2001 Oct 19;294(5542):591–5.",11557844
"Schumacher B, Hofmann K, Boulton S, Gartner A. The C. elegans homolog of the p53 tumor suppressor is required for DNA damage-induced apoptosis. Curr Biol. 2001 Oct 30;11(21):1722–7.",11696333
"Ahmed S, Alpi A, Hengartner MO, Gartner A. C. elegans RAD-5/CLK-2 defines a new DNA damage checkpoint protein. Curr Biol. 2001 Dec 11;11(24):1934–44.",11747819
"Hofmann ER, Milstein S, Boulton SJ, Ye M, Hofmann JJ, Stergiou L, et al. Caenorhabditis elegans HUS-1 is a DNA damage checkpoint protein required for genome stability and EGL-1-mediated apoptosis. Curr Biol. 2002 Nov 19;12(22):1908–18.",12445383
"Bergamaschi D, Samuels Y, O’Neil NJ, Trigiante G, Crook T, Hsieh J-K, et al. iASPP oncoprotein is a key inhibitor of p53 conserved from worm to human. Nat Genet. 2003 Feb;33(2):162–7.",12524540
"Deng X, Hofmann ER, Villanueva A, Hobert O, Capodieci P, Veach DR, et al. Caenorhabditis elegans ABL-1 antagonizes p53-mediated germline apoptosis after ionizing irradiation. Nat Genet. 2004 Aug;36(8):906–12.",15273685
"Schumacher B, Schertel C, Wittenburg N, Tuck S, Mitani S, Gartner A, et al. C. elegans ced-13 can promote apoptosis and is induced in response to DNA damage. Cell Death Differ. 2005 Feb;12(2):153–61.",15605074
"Schumacher B, Hanazawa M, Lee M-H, Nayak S, Volkmann K, Hofmann ER, et al. Translational repression of C. elegans p53 by GLD-1 regulates DNA damage-induced apoptosis. Cell. 2005 Feb 11;120(3):357–68.",15707894
"Quevedo C, Kaplan DR, Derry WB. AKT-1 regulates DNA-damage-induced germline apoptosis in C. elegans. Curr Biol. 2007 Feb 6;17(3):286–92.",17276923
"Gao MX, Liao EH, Yu B, Wang Y, Zhen M, Derry WB. The SCF FSN-1 ubiquitin ligase controls germline apoptosis through CEP-1/p53 in C. elegans. Cell Death Differ. 2008 Jun;15(6):1054–62.",18340346
"Gartner A, Boag PR, Blackwell TK. Germline survival and apoptosis. WormBook. 2008 Sep 4;1–20.",18781708
