citation,pmid
"Wienholds E, Plasterk RHA. MicroRNA function in animal development. FEBS Lett. 2005 Oct 31;579(26):5911–22.",16111679
"Yang J-S, Phillips MD, Betel D, Mu P, Ventura A, Siepel AC, et al. Widespread regulatory activity of vertebrate microRNA* species. RNA. 2011 Feb;17(2):312–26.",21177881
