citation,pmid
"Urao T, Yakubov B, Satoh R, Yamaguchi-Shinozaki K, Seki M, Hirayama T, et al. A transmembrane hybrid-type histidine kinase in Arabidopsis functions as an osmosensor. Plant Cell. 1999 Sep;11(9):1743–54.",10488240
"Urao T, Yamaguchi-Shinozaki K, Shinozaki K. Plant histidine kinases: an emerging picture of two-component signal transduction in hormone and environmental responses. Sci STKE. 2001 Nov 20;2001(109):re18.",11717470
"Hao G-P, Wu Z-Y, Chen M-S, Cao M-Q, Pelletier G, Huang C-L, et al. ATHK1 gene regulates signal transduction of osmotic stress in Arabidopsis thaliana. Zhi Wu Sheng Li Yu Fen Zi Sheng Wu Xue Xue Bao. 2004 Oct;30(5):553–60.",15627710
"Lee DJ, Park J-Y, Ku S-J, Ha Y-M, Kim S, Kim MD, et al. Genome-wide expression profiling of ARABIDOPSIS RESPONSE REGULATOR 7(ARR7) overexpression in cytokinin response. Mol Genet Genomics. 2007 Feb;277(2):115–37.",17061125
"Tran L-SP, Urao T, Qin F, Maruyama K, Kakimoto T, Shinozaki K, et al. Functional analysis of AHK1/ATHK1 and cytokinin receptor histidine kinases in response to abscisic acid, drought, and salt stress in Arabidopsis. Proc Natl Acad Sci U S A. 2007 Dec 18;104(51):20623–8.",18077346
"Wohlbach DJ, Quirino BF, Sussman MR. Analysis of the Arabidopsis histidine kinase ATHK1 reveals a connection between vegetative osmotic stress sensing and seed maturation. Plant Cell. 2008 Apr;20(4):1101–17.",18441212
"Gordon SP, Chickarmane VS, Ohno C, Meyerowitz EM. Multiple feedback loops through cytokinin signaling control stem cell number within the Arabidopsis shoot meristem. Proc Natl Acad Sci U S A. 2009 Sep 22;106(38):16529–34.",19717465
"Shkolnik-Inbar D, Bar-Zvi D. ABI4 mediates abscisic acid and cytokinin inhibition of lateral root formation by reducing polar auxin transport in Arabidopsis. Plant Cell. 2010 Nov;22(11):3560–73.",21097710
"Caesar K, Thamm AMK, Witthöft J, Elgass K, Huppenberger P, Grefen C, et al. Evidence for the localization of the Arabidopsis cytokinin receptors AHK3 and AHK4 in the endoplasmic reticulum. J Exp Bot. 2011 Nov;62(15):5571–80.",21841169
"El-Showk S, Ruonala R, Helariutta Y. Crossing paths: cytokinin signalling and crosstalk. Development. 2013 Apr;140(7):1373–83.",23482484
"Marhavý P, Duclercq J, Weller B, Feraru E, Bielach A, Offringa R, et al. Cytokinin controls polarity of PIN1-dependent auxin transport during lateral root organogenesis. Curr Biol. 2014 May 5;24(9):1031–7.",24768050
