citation,pmid
"Quon MJ, Campfield LA. A mathematical model and computer simulation study of insulin sensitive glucose transporter regulation. J Theor Biol. 1991 May 7;150(1):93–107.",1890850
Bevan P. Insulin signalling. J Cell Sci. 2001 Apr;114(Pt 8):1429–30.,11282018
"Saltiel AR, Kahn CR. Insulin signalling and the regulation of glucose and lipid metabolism. Nature. 2001 Dec 13;414(6865):799–806.",11742412
"Saxton RA, Sabatini DM. mTOR Signaling in Growth, Metabolism, and Disease. Cell. 2017 Mar 9;168(6):960–76.",28283069
