citation,pmid
Weinstein IB. Cell culture studies on the mechanism of action of chemical carcinogens and tumor promoters. Carcinog Compr Surv. 1985;10:177–87.,4064003
"Hannun YA, Obeid LM. The Ceramide-centric universe of lipid-mediated cell regulation: stress encounters of the lipid kind. J Biol Chem. 2002 Jul 19;277(29):25847–50.",12011103
"Gault CR, Obeid LM, Hannun YA. An overview of sphingolipid metabolism: from synthesis to breakdown. Adv Exp Med Biol. 2010;688:1–23.",20919643
"Gey C, Seeger K. Metabolic Changes Investigated by Proton NMR Spectroscopy in Cells Undergoing Oncogene-Induced Senescence. Methods Mol Biol. 2017;1534:155–63.",27812877
"Flor AC, Wolfgeher D, Wu D, Kron SJ. A signature of enhanced lipid metabolism, lipid peroxidation and aldehyde stress in therapy-induced senescence. Cell Death Discov. 2017 Oct 30;3:17075.",29090099
"Jeffries KA, Krupenko NI. Ceramide Signaling and p53 Pathways. Adv Cancer Res. 2018;140:191–215.",30060809
"Trayssac M, Hannun YA, Obeid LM. Role of sphingolipids in senescence: implication in aging and age-related diseases. J Clin Invest. 2018 Jul 2;128(7):2702–12.",30108193
"Kim MK, Lee W, Yoon G-H, Chang E-J, Choi S-C, Kim SW. Links between accelerated replicative cellular senescence and down-regulation of SPHK1 transcription. BMB Rep. 2019 Mar;52(3):220–5.",30885289
"Millner A, Atilla-Gokcumen GE. Lipid Players of Cellular Senescence. Metabolites. 2020 Aug 21;10(9):339.",32839400
"Trayssac M, Clarke CJ, Stith JL, Snider JM, Newen N, Gault CR, et al. Targeting sphingosine kinase 1 (SK1) enhances oncogene-induced senescence through ceramide synthase 2 (CerS2)-mediated generation of very-long-chain ceramides. Cell Death Dis. 2021 Jan 4;12(1):27.",33414460
"Deevska G, Dotson PP 2nd, Mitov M, Butterfield DA, Nikolova-Karakashian M. Onset of Senescence and Steatosis in Hepatocytes as a Consequence of a Shift in the Diacylglycerol/Ceramide Balance at the Plasma Membrane. Cells. 2021 May 21;10(6):1278.",34064003
"Munk R, Anerillas C, Rossi M, Tsitsipatis D, Martindale JL, Herman AB, et al. Acid ceramidase promotes senescent cell survival. Aging (Albany NY). 2021 Jun 8;13(12):15750–69.",34102611
