citation,pmid
"Müller A, Guan C, Gälweiler L, Tänzler P, Huijser P, Marchant A, et al. AtPIN2 defines a locus of Arabidopsis for root gravitropism control. EMBO J. 1998 Dec 1;17(23):6903–11.",9843496
"Liu Cm, Xu Zh, Chua NH. Auxin Polar Transport Is Essential for the Establishment of Bilateral Symmetry during Early Plant Embryogenesis. Plant Cell. 1993 Jun;5(6):621–30.",12271078
"Okada K, Ueda J, Komaki MK, Bell CJ, Shimura Y. Requirement of the Auxin Polar Transport System in Early Stages of Arabidopsis Floral Bud Formation. Plant Cell. 1991 Jul;3(7):677–84.",12324609
"Yang Y, Hammes UZ, Taylor CG, Schachtman DP, Nielsen E. High-affinity auxin transport by the AUX1 influx carrier protein. Curr Biol. 2006 Jun 6;16(11):1123–7.",16677815
"Fischer U, Ikeda Y, Ljung K, Serralbo O, Singh M, Heidstra R, et al. Vectorial information for Arabidopsis planar polarity is mediated by combined AUX1, EIN2, and GNOM activity. Curr Biol. 2006 Nov 7;16(21):2143–9.",17084699
"Kleine-Vehn J, Dhonukshe P, Swarup R, Bennett M, Friml J. Subcellular trafficking of the Arabidopsis auxin influx carrier AUX1 uses a novel pathway distinct from PIN1. Plant Cell. 2006 Nov;18(11):3171–81.",17114355
"Belin C, Megies C, Hauserová E, Lopez-Molina L. Abscisic acid represses growth of the Arabidopsis embryonic axis after germination by enhancing auxin signaling. Plant Cell. 2009 Aug;21(8):2253–68.",19666738
"Ding Z, Wang B, Moreno I, Dupláková N, Simon S, Carraro N, et al. ER-localized auxin transporter PIN8 regulates auxin homeostasis and male gametophyte development in Arabidopsis. Nat Commun. 2012 Jul 3;3:941.",22760640
"Sawchuk MG, Edgar A, Scarpella E. Patterning of leaf vein networks by convergent auxin transport pathways. PLoS Genet. 2013;9(2):e1003294.",23437008
"Bender RL, Fekete ML, Klinkenberg PM, Hampton M, Bauer B, Malecha M, et al. PIN6 is required for nectary auxin response and short stamen development. Plant J. 2013 Jun;74(6):893–904.",23551385
"de Jong M, George G, Ongaro V, Williamson L, Willetts B, Ljung K, et al. Auxin and strigolactone signaling are required for modulation of Arabidopsis shoot branching by nitrogen supply. Plant Physiol. 2014 Sep;166(1):384–95.",25059707
Bennett T. PIN proteins and the evolution of plant development. Trends Plant Sci. 2015 Aug;20(8):498–507.,26051227
