citation,pmid
Ostrer H. Disorders of sex development (DSDs): an update. J Clin Endocrinol Metab. 2014 May;99(5):1503–9.,24758178
"Bashamboo A, McElreavey K. Mechanism of Sex Determination in Humans: Insights from Disorders of Sex Development. Sex Dev. 2016;10(5–6):313–25.",27915330
