citation,pmid
"Ishii KJ, Coban C, Kato H, Takahashi K, Torii Y, Takeshita F, et al. A Toll-like receptor-independent antiviral response induced by double-stranded B-form DNA. Nat Immunol. 2006 Jan;7(1):40–8.",16286919
"Takaoka A, Taniguchi T. Cytosolic DNA recognition for triggering innate immune responses. Adv Drug Deliv Rev. 2008 Apr 29;60(7):847–57.",18280611
"Wang Z, Choi MK, Ban T, Yanai H, Negishi H, Lu Y, et al. Regulation of innate immune responses by DAI (DLM-1/ZBP1) and other DNA-sensing molecules. Proc Natl Acad Sci U S A. 2008 Apr 8;105(14):5477–82.",18375758
"Takeshita F, Ishii KJ. Intracellular DNA sensors in immunity. Curr Opin Immunol. 2008 Aug;20(4):383–8.",18573338
"Stetson DB, Ko JS, Heidmann T, Medzhitov R. Trex1 prevents cell-intrinsic initiation of autoimmunity. Cell. 2008 Aug 22;134(4):587–98.",18724932
"Kaiser WJ, Upton JW, Mocarski ES. Receptor-interacting protein homotypic interaction motif-dependent control of NF-kappa B activation via the DNA-dependent activator of IFN regulatory factors. J Immunol. 2008 Nov 1;181(9):6427–34.",18941233
"Takaoka A, Shinohara S. DNA sensors in innate immune system. Uirusu. 2008 Jun;58(1):37–46.",19122387
"Schroder K, Muruve DA, Tschopp J. Innate immunity: cytoplasmic DNA sensing by the AIM2 inflammasome. Curr Biol. 2009 Mar 24;19(6):R262-5.",19321146
"Yanai H, Savitsky D, Tamura T, Taniguchi T. Regulation of the cytosolic DNA-sensing system in innate immunity: a current view. Curr Opin Immunol. 2009 Feb;21(1):17–22.",19362700
"Vilaysane A, Muruve DA. The innate immune response to DNA. Semin Immunol. 2009 Aug;21(4):208–14.",19497760
Krieg AM. AIMing 2 detect foreign DNA. Sci Signal. 2009 Jun 30;2(77):pe39.,19567913
"Rebsamen M, Heinz LX, Meylan E, Michallet M-C, Schroder K, Hofmann K, et al. DAI/ZBP1 recruits RIP1 and RIP3 through RIP homotypic interaction motifs to activate NF-kappaB. EMBO Rep. 2009 Aug;10(8):916–22.",19590578
O’Neill LAJ. DNA makes RNA makes innate immunity. Cell. 2009 Aug 7;138(3):428–30.,19665965
Cao X. New DNA-sensing pathway feeds RIG-I with RNA. Nat Immunol. 2009 Oct;10(10):1049–51.,19767723
"Sun L, Wu J, Du F, Chen X, Chen ZJ. Cyclic GMP-AMP synthase is a cytosolic DNA sensor that activates the type I interferon pathway. Science. 2013 Feb 15;339(6121):786–91.",23258413
