citation,pmid
"1. Jurk M, Heil F, Vollmer J, Schetter C, Krieg AM, Wagner H, et al. Human TLR7 or TLR8 independently confer responsiveness to the antiviral compound R-848. Nat Immunol. 2002 Jun;3(6):499. 
",12032557
"1. Hemmi H, Kaisho T, Takeuchi O, Sato S, Sanjo H, Hoshino K, et al. Small anti-viral compounds activate immune cells via the TLR7 MyD88-dependent signaling pathway. Nat Immunol. 2002 Feb;3(2):196–200. 
",11812998
