citation,pmid
"1. Gurbuxani S, Schmitt E, Cande C, Parcellier A, Hammann A, Daugas E, et al. Heat shock protein 70 binding inhibits the nuclear import of apoptosis-inducing factor. Oncogene. 2003 Oct 2;22(43):6669–78. 
",14555980
"1. Orsini F, Migliaccio E, Moroni M, Contursi C, Raker VA, Piccini D, et al. The life span determinant p66Shc localizes to mitochondria where it associates with mitochondrial heat shock protein 70 and regulates trans-membrane potential. J Biol Chem. 2004 Jun 11;279(24):25689–95. 
",15078873
"1. Saleh A, Srinivasula SM, Balkir L, Robbins PD, Alnemri ES. Negative regulation of the Apaf-1 apoptosome by Hsp70. Nat Cell Biol. 2000 Aug;2(8):476–83. 
",10934467
"1. Garrido C, Schmitt E, Candé C, Vahsen N, Parcellier A, Kroemer G. HSP27 and HSP70: potentially oncogenic apoptosis inhibitors. Cell Cycle. 2003;2(6):579–84. 
",14512773
"1. Gabai VL, Meriin AB, Yaglom JA, Volloch VZ, Sherman MY. Role of Hsp70 in regulation of stress-kinase JNK: implications in apoptosis and aging. FEBS Lett. 1998 Oct 30;438(1–2):1–4. 
",9821948
"1. Mosser DD, Caron AW, Bourget L, Meriin AB, Sherman MY, Morimoto RI, et al. The chaperone function of hsp70 is required for protection against stress-induced apoptosis. Mol Cell Biol. 2000 Oct;20(19):7146–59. 
",10982831
"1. Jäättelä M, Wissing D, Kokholm K, Kallunki T, Egeblad M. Hsp70 exerts its anti-apoptotic function downstream of caspase-3-like proteases. EMBO J. 1998 Nov 2;17(21):6124–34. 
",9799222
"1. Schett G, Steiner CW, Gröger M, Winkler S, Graninger W, Smolen J, et al. Activation of Fas inhibits heat-induced activation of HSF1 and up-regulation of hsp70. FASEB J. 1999 May;13(8):833–42. 
",10224227
