citation,pmid
"Miles AT, Hawksworth GM, Beattie JH, Rodilla V. Induction, regulation, degradation, and biological significance of mammalian metallothioneins. Crit Rev Biochem Mol Biol. 2000;35(1):35–70.",    10755665     
"Miles AT, Hawksworth GM, Beattie JH, Rodilla V. Induction, regulation, degradation, and biological significance of mammalian metallothioneins. Crit Rev Biochem Mol Biol. 2000;35(1):35–70.",10755665
Andrews GK. Cellular zinc sensors: MTF-1 regulation of gene expression. Biometals. 2001;14(3–4):223–37.,11831458
"Chen Y-H, Yang CK, Xia M, Ou C-Y, Stallcup MR. Role of GAC63 in transcriptional activation mediated by beta-catenin. Nucleic Acids Res. 2007;35(6):2084–92.",17344318
"Günther V, Davis AM, Georgiev O, Schaffner W. A conserved cysteine cluster, essential for transcriptional activity, mediates homodimerization of human metal-responsive transcription factor-1 (MTF-1). Biochim Biophys Acta. 2012 Feb;1823(2):476–83.",22057392
"Günther V, Lindert U, Schaffner W. The taste of heavy metals: gene regulation by MTF-1. Biochim Biophys Acta. 2012 Sep;1823(9):1416–25.",22289350
"Huang L, Tepaamorndech S. The SLC30 family of zinc transporters - a review of current understanding of their biological and pathophysiological roles. Mol Aspects Med. 2013;34(2–3):548–60.",23506888
"Jeong J, Eide DJ. The SLC39 family of zinc transporters. Mol Aspects Med. 2013;34(2–3):612–9.",23506894
"Gumulec J, Raudenska M, Adam V, Kizek R, Masarik M. Metallothionein - immunohistochemical cancer biomarker: a meta-analysis. PLoS One. 2014 Jan 8;9(1):e85346.",     24416395
"Gumulec J, Raudenska M, Adam V, Kizek R, Masarik M. Metallothionein - immunohistochemical cancer biomarker: a meta-analysis. PLoS One. 2014 Jan 8;9(1):e85346.",24416395
"Kambe T, Hashimoto A, Fujimoto S. Current understanding of ZIP and ZnT zinc transporters in human health and diseases. Cell Mol Life Sci. 2014 Sep;71(17):3281–95.",    24710731
