citation,pmid
",18957414
",18957414
",17372190
",16881513
",18483421
"1. Zhu P, Xu X, Lin X. Both ciliary and non-ciliary functions of Foxj1a confer Wnt/β-catenin signaling in zebrafish left-right patterning. Biol Open. 2015 Oct 2;4(11):1376–86. 
",26432885
",16894029
"1. Strate I, Tessadori F, Bakkers J. Glypican4 promotes cardiac specification and differentiation by attenuating canonical Wnt and Bmp signaling. Development. 2015 May 15;142(10):1767–76. 
",25968312
