citation,pmid
"1. Guzik TJ, Korbut R, Adamek-Guzik T. Nitric oxide and superoxide in inflammation and immune regulation. J Physiol Pharmacol. 2003 Dec;54(4):469–87. 
",14726604
"1. Denis D, Charleson S, Rackham A, Jones TR, Ford-Hutchinson AW, Lord A, et al. Synthesis and biological activities of leukotriene F4 and leukotriene F4 sulfone. Prostaglandins. 1982 Dec;24(6):801–14. 
",6300970
