citation,pmid
"Legendre L, Heinstein PF, Low PS. Evidence for participation of GTP-binding proteins in elicitation of the rapid oxidative burst in cultured soybean cells. J Biol Chem. 1992 Oct 5;267(28):20140–7.",1400332
"Blumenkrantz N, Asboe-Hansen G. New method for quantitative determination of uronic acids. Anal Biochem. 1973 Aug;54(2):484–9.",4269305
"Loh YT, Martin GB. The disease-resistance gene Pto and the fenthion-sensitivity gene fen encode closely related functional protein kinases. Proc Natl Acad Sci U S A. 1995 May 9;92(10):4181–4.",7753781
"Martin GB, Frary A, Wu T, Brommonschenkel S, Chunwongse J, Earle ED, et al. A member of the tomato Pto gene family confers sensitivity to fenthion resulting in rapid cell death. Plant Cell. 1994 Nov;6(11):1543–52.",7827490
"Martin GB, Brommonschenkel SH, Chunwongse J, Frary A, Ganal MW, Spivey R, et al. Map-based cloning of a protein kinase gene conferring disease resistance in tomato. Science. 1993 Nov 26;262(5138):1432–6.",7902614
Lamb CJ. Plant disease resistance genes in signal perception and transduction. Cell. 1994 Feb 11;76(3):419–22.,8313464
"Zhou J, Loh YT, Bressan RA, Martin GB. The tomato gene Pti1 encodes a serine/threonine kinase that is phosphorylated by Pto and is involved in the hypersensitive response. Cell. 1995 Dec 15;83(6):925–35.",8521516
"Dwyer SC, Legendre L, Low PS, Leto TL. Plant and human neutrophil oxidative burst complexes contain immunologically related proteins. Biochim Biophys Acta. 1996 Mar 15;1289(2):231–7.",8600979
"Yu L, Quinn MT, Cross AR, Dinauer MC. Gp91(phox) is the heme binding subunit of the superoxide-generating NADPH oxidase. Proc Natl Acad Sci U S A. 1998 Jul 7;95(14):7993–8.",9653128
"Chandra S, Martin GB, Low PS. The Pto kinase mediates a signaling pathway leading to the oxidative burst in tomato. Proc Natl Acad Sci U S A. 1996 Nov 12;93(23):13393–7.",11038525
"Legendre L, Rueter S, Heinstein PF, Low PS. Characterization of the Oligogalacturonide-Induced Oxidative Burst in Cultured Soybean (Glycine max) Cells. Plant Physiol. 1993 May;102(1):233–40.",12231814
"Manea A, Manea SA, Gafencu AV, Raicu M. Regulation of NADPH oxidase subunit p22(phox) by NF-kB in human aortic smooth muscle cells. Arch Physiol Biochem. 2007;113(4–5):163–72.",18158642
