citation,pmid
Kim HH. Regulation of gonadotropin-releasing hormone gene expression. Semin Reprod Med. 2007 Sep;25(5):313–25.,17710727
"Widmann P, Reverter A, Fortes MRS, Weikard R, Suhre K, Hammon H, et al. A systems biology approach using metabolomic data reveals genes and pathways interacting to modulate divergent growth in cattle. BMC Genomics. 2013 Nov 18;14:798.",24246134
