citation,pmid
Nusse R. Wnt signaling in disease and in development. Cell Res. 2005 Jan;15(1):28–32.,15686623
"Klingenberg M, Matsuda A, Diederichs S, Patel T. Non-coding RNA in hepatocellular carcinoma: Mechanisms, biomarkers and therapeutic targets. J Hepatol. 2017 Sep;67(3):603–18.",28438689
"Vasuri F, Visani M, Acquaviva G, Brand T, Fiorentino M, Pession A, et al. Role of microRNAs in the main molecular pathways of hepatocellular carcinoma. World J Gastroenterol. 2018 Jul 7;24(25):2647–60.",29991871
