citation,pmid
"Smalley M, Ashworth A. Stem cells and breast cancer: A field in transit. Nat Rev Cancer. 2003 Nov;3(11):832–44.",14668814
"Panchal H, Wansbury O, Parry S, Ashworth A, Howard B. Neuregulin3 alters cell fate in the epidermis and mammary gland. BMC Dev Biol. 2007 Sep 19;7:105.",17880691
"Katoh M, Katoh M. Integrative genomic analyses of ZEB2: Transcriptional regulation of ZEB2 based on SMADs, ETS1, HIF1alpha, POU/OCT, and NF-kappaB. Int J Oncol. 2009 Jun;34(6):1737–42.",19424592
