citation,pmid
"1. Lum L, Beachy PA. The Hedgehog response network: sensors, switches, and routers. Science. 2004 Jun 18;304(5678):1755–9. 
",15205520
"1. Mohler J. Requirements for hedgehog, a segmental polarity gene, in patterning larval and adult cuticle of Drosophila. Genetics. 1988 Dec;120(4):1061–72. 
",3147217
