citation,pmid
"Blusztajn JK, Wurtman RJ. Choline and cholinergic neurons. Science. 1983 Aug 12;221(4611):614–20.",6867732
"Angelini C, Baccetti B, Piomboni P, Trombino S, Aluigi MG, Stringara S, et al. Acetylcholine synthesis and possible functions during sea urchin development. Eur J Histochem. 2004;48(3):235–43.",15590413
"Szutowicz A, Bielarczyk H, Jankowska-Kulawy A, Pawełczyk T, Ronowska A. Acetyl-CoA the key factor for survival or death of cholinergic neurons in course of neurodegenerative diseases. Neurochem Res. 2013 Aug;38(8):1523–42.",23677775
