citation,pmid
"Iglesias-Bartolome R, Martin D, Gutkind JS. Exploiting the head and neck cancer oncogenome: widespread PI3K-mTOR pathway alterations and novel molecular targets. Cancer Discov. 2013 Jul;3(7):722–5.",23847349
"Li Z-X, Zheng Z-Q, Wei Z-H, Zhang L-L, Li F, Lin L, et al. Comprehensive characterization of the alternative splicing landscape in head and neck squamous cell carcinoma reveals novel events associated with tumorigenesis and the immune microenvironment. Theranostics. 2019 Oct 14;9(25):7648–65.",31695792
