citation,pmid
"Vanhaesebroeck B, Alessi DR. The PI3K-PDK1 connection: more than just a road to PKB. Biochem J. 2000 Mar 15;346 Pt 3(Pt 3):561–76.",10698680
"Schmitz AA, Govek EE, Böttner B, Van Aelst L. Rho GTPases: signaling, migration, and invasion. Exp Cell Res. 2000 Nov 25;261(1):1–12.",11082269
Turner CE. Paxillin and focal adhesion signalling. Nat Cell Biol. 2000 Dec;2(12):E231-6.,11146675
"Petit V, Thiery JP. Focal adhesions: structure and dynamics. Biol Cell. 2000 Oct;92(7):477–94.",11229600
"Danen EH, Yamada KM. Fibronectin, integrins, and growth control. J Cell Physiol. 2001 Oct;189(1):1–13.",11573199
"Nicholson KM, Anderson NG. The protein kinase B/Akt signalling pathway in human malignancy. Cell Signal. 2002 May;14(5):381–95.",11882383
"Stupack DG, Cheresh DA. Get a ligand, get a life: integrins, signaling and cell survival. J Cell Sci. 2002 Oct 1;115(Pt 19):3729–38.",12235283
Parsons JT. Focal adhesion kinase: the first ten years. J Cell Sci. 2003 Apr 15;116(Pt 8):1409–16.,12640026
"Comoglio PM, Boccaccio C, Trusolino L. Interactions between growth factor receptors and adhesion molecules: breaking the rules. Curr Opin Cell Biol. 2003 Oct;15(5):565–71.",14519391
"Burridge K, Wennerberg K. Rho and Rac take center stage. Cell. 2004 Jan 23;116(2):167–79.",14744429
"Berman AE, Kozlova NI, Morozevich GE. Integrins: structure and signaling. Biochemistry (Mosc). 2003 Dec;68(12):1284–99.",14756624
"Hlobilková A, Knillová J, Bártek J, Lukás J, Kolár Z. The mechanism of action of the tumour suppressor gene PTEN. Biomed Pap Med Fac Univ Palacky Olomouc Czech Repub. 2003 Nov;147(1):19–25.",15034601
"Oloumi A, McPhee T, Dedhar S. Regulation of E-cadherin expression and beta-catenin/Tcf transcriptional activity by the integrin-linked kinase. Biochim Biophys Acta. 2004 Apr 1;1691(1):1–15.",15053919
"Schlaepfer DD, Mitra SK. Multiple connections link FAK to cell motility and invasion. Curr Opin Genet Dev. 2004 Feb;14(1):92–101.",15108811
"Lee JW, Juliano R. Mitogenic signal transduction by integrin- and growth factor receptor-mediated pathways. Mol Cells. 2004 Apr 30;17(2):188–202.",15179030
"Guo W, Giancotti FG. Integrin signalling during tumour progression. Nat Rev Mol Cell Biol. 2004 Oct;5(10):816–26.",15459662
"Mitra SK, Hanson DA, Schlaepfer DD. Focal adhesion kinase: in command and control of cell motility. Nat Rev Mol Cell Biol. 2005 Jan;6(1):56–68.",15688067
