citation,pmid
"1. Merrill AH Jr, Stokes TH, Momin A, Park H, Portz BJ, Kelly S, et al. Sphingolipidomics: a valuable tool for understanding the roles of sphingolipids in biology and disease. J Lipid Res. 2009 Apr;50 Suppl(Suppl):S97-102. 
",19029065
"1. Hannun YA, Obeid LM. Principles of bioactive lipid signalling: lessons from sphingolipids. Nat Rev Mol Cell Biol. 2008 Feb;9(2):139–50. 
",18216770
"1. Hannun YA, Obeid LM. Principles of bioactive lipid signalling: lessons from sphingolipids. Nat Rev Mol Cell Biol. 2008 Feb;9(2):139–50. 
",18216770
"1. Merrill AH Jr, Wang MD, Park M, Sullards MC. (Glyco)sphingolipidology: an amazing challenge and opportunity for systems biology. Trends Biochem Sci. 2007 Oct;32(10):457–68. 
",17928229
