citation,pmid
"Gilmore TD. Introduction to NF-kappaB: players, pathways, perspectives. Oncogene. 2006 Oct 30;25(51):6680–4.",17072321
"Cascio S, Finn OJ. Intra- and Extra-Cellular Events Related to Altered Glycosylation of MUC1 Promote Chronic Inflammation, Tumor Progression, Invasion, and Metastasis. Biomolecules. 2016 Oct 13;6(4):39.",27754373
