citation,pmid
"Gilmore TD. Introduction to NF-kappaB: players, pathways, perspectives. Oncogene. 2006 Oct 30;25(51):6680–4.",17072321
"Li Y-H, Kuo C-H, Shi G-Y, Wu H-L. The role of thrombomodulin lectin-like domain in inflammation. J Biomed Sci. 2012 Mar 27;19(1):34.",22449172
