citation,pmid
Surh Y-J. Cancer chemoprevention with dietary phytochemicals. Nat Rev Cancer. 2003 Oct;3(10):768–80.,14570043
"Vomhof-Dekrey EE, Picklo MJ Sr. The Nrf2-antioxidant response element pathway: a target for regulating energy metabolism. J Nutr Biochem. 2012 Oct;23(10):1201–6.",22819548
"Niture SK, Khatri R, Jaiswal AK. Regulation of Nrf2-an update. Free Radic Biol Med. 2014 Jan;66:36–44.",23434765
