citation,pmid
"Oster A, Jensen J, Serup P, Galante P, Madsen OD, Larsson LI. Rat endocrine pancreatic development in relation to two homeobox gene products (Pdx-1 and Nkx 6.1). J Histochem Cytochem. 1998 Jun;46(6):707–15.",9603781
"Watada H, Mirmira RG, Leung J, German MS. Transcriptional and translational regulation of beta-cell differentiation factor Nkx6.1. J Biol Chem. 2000 Nov 3;275(44):34224–30.",10938085
"Wang J, Kilic G, Aydin M, Burke Z, Oliver G, Sosa-Pineda B. Prox1 activity controls pancreas morphogenesis and participates in the production of “secondary transition” pancreatic endocrine cells. Dev Biol. 2005 Oct 1;286(1):182–94.",16122728
"Ghosh B, Leach SD. Interactions between hairy/enhancer of split-related proteins and the pancreatic transcription factor Ptf1-p48 modulate function of the PTF1 transcriptional complex. Biochem J. 2006 Feb 1;393(Pt 3):679–85.",16201968
"Jacquemin P, Yoshitomi H, Kashima Y, Rousseau GG, Lemaigre FP, Zaret KS. An endothelial-mesenchymal relay pathway regulates early phases of pancreas development. Dev Biol. 2006 Feb 1;290(1):189–99.",16386727
"Wells JM, Esni F, Boivin GP, Aronow BJ, Stuart W, Combs C, et al. Wnt/beta-catenin signaling is required for development of the exocrine pancreas. BMC Dev Biol. 2007 Jan 12;7:4.",17222338
"Wiebe PO, Kormish JD, Roper VT, Fujitani Y, Alston NI, Zaret KS, et al. Ptf1a binds to and activates area III, a highly conserved region of the Pdx1 promoter that mediates early pancreas-wide Pdx1 expression. Mol Cell Biol. 2007 Jun;27(11):4093–104.",17403901
"Miyatsuka T, Matsuoka T, Shiraiwa T, Yamamoto T, Kojima I, Kaneto H. Ptf1a and RBP-J cooperate in activating Pdx1 gene expression through binding to Area III. Biochem Biophys Res Commun. 2007 Nov 3;362(4):905–9.",17803961
"Fujikura J, Hosoda K, Kawaguchi Y, Noguchi M, Iwakura H, Odori S, et al. Rbp-j regulates expansion of pancreatic epithelial cells and their differentiation into exocrine cells during mouse development. Dev Dyn. 2007 Oct;236(10):2779–91.",17849436
"Masui T, Long Q, Beres TM, Magnuson MA, MacDonald RJ. Early pancreatic development requires the vertebrate Suppressor of Hairless (RBPJ) in the PTF1 bHLH complex. Genes Dev. 2007 Oct 15;21(20):2629–43.",17938243
"Dong PDS, Provost E, Leach SD, Stainier DYR. Graded levels of Ptf1a differentially regulate endocrine and exocrine fates in the developing pancreas. Genes Dev. 2008 Jun 1;22(11):1445–50.",18519637
"Rodolosse A, Campos M-L, Rooman I, Lichtenstein M, Real FX. p/CAF modulates the activity of the transcription factor p48/Ptf1a involved in pancreatic acinar differentiation. Biochem J. 2009 Mar 1;418(2):463–73.",18834332
