citation,pmid
"McKay MM, Morrison DK. Integrating signals from RTKs to ERK/MAPK. Oncogene. 2007 May 14;26(22):3113–21.",17496910
"Jones DTW, Kocialkowski S, Liu L, Pearson DM, Ichimura K, Collins VP. Oncogenic RAF1 rearrangement and a novel BRAF mutation as alternatives to KIAA1549:BRAF fusion in activating the MAPK pathway in pilocytic astrocytoma. Oncogene. 2009 May 21;28(20):2119–23.",19363522
