citation,pmid
Abbott AL. Heterochronic genes. Curr Biol. 2003 Oct 28;13(21):R824-5.,14588255
Moss EG. Heterochronic genes and the nature of developmental time. Curr Biol. 2007 Jun 5;17(11):R425-34.,17550772
"Resnick TD, McCulloch KA, Rougvie AE. miRNAs give worms the time of their lives: small RNAs and temporal control in Caenorhabditis elegans. Dev Dyn. 2010 May;239(5):1477–89.",20232378
