citation,pmid
"1. Bell SP, Dutta A. DNA replication in eukaryotic cells. Annu Rev Biochem. 2002;71:333–74. 
",12045100
"1. Kelly TJ, Brown GW. Regulation of chromosome replication. Annu Rev Biochem. 2000;69:829–80. 
",10966477
