citation,pmid
"Yu A-M, Idle JR, Byrd LG, Krausz KW, Küpfer A, Gonzalez FJ. Regeneration of serotonin from 5-methoxytryptamine by polymorphic human CYP2D6. Pharmacogenetics. 2003 Mar;13(3):173–81.",12618595
"Ma X, Idle JR, Krausz KW, Gonzalez FJ. Metabolism of melatonin by human cytochromes p450. Drug Metab Dispos. 2005 Apr;33(4):489–94.",15616152
"Schomerus C, Korf H-W. Mechanisms regulating melatonin synthesis in the mammalian pineal organ. Ann N Y Acad Sci. 2005 Dec;1057:372–83.",16399907
"Liu Y-J, Meng F-T, Wang L-L, Zhang L-F, Cheng X-P, Zhou J-N. Apolipoprotein E influences melatonin biosynthesis by regulating NAT and MAOA expression in C6 cells. J Pineal Res. 2012 May;52(4):397–402.",22225631
"León J, Casado J, Jiménez Ruiz SM, Zurita MS, González-Puga C, Rejón JD, et al. Melatonin reduces endothelin-1 expression and secretion in colon cancer cells through the inactivation of FoxO-1 and NF-κβ. J Pineal Res. 2014 May;56(4):415–26.",24628039
"Papagiannidou E, Skene DJ, Ioannides C. Potential drug interactions with melatonin. Physiol Behav. 2014 May 28;131:17–24.",24732412
"Veatch OJ, Pendergast JS, Allen MJ, Leu RM, Johnson CH, Elsea SH, et al. Genetic variation in melatonin pathway enzymes in children with autism spectrum disorder and comorbid sleep onset delay. J Autism Dev Disord. 2015 Jan;45(1):100–10.",25059483
"Domínguez-Alonso A, Valdés-Tovar M, Solís-Chagoyán H, Benítez-King G. Melatonin stimulates dendrite formation and complexity in the hilar zone of the rat hippocampus: participation of the Ca++/Calmodulin complex. Int J Mol Sci. 2015 Jan 16;16(1):1907–27.",25603176
"Tian X, Huo X, Dong P, Wu B, Wang X, Wang C, et al. Sulfation of melatonin: enzymatic characterization, differences of organs, species and genders, and bioactivity variation. Biochem Pharmacol. 2015 Apr 15;94(4):282–96.",25738837
"Carloni S, Favrais G, Saliba E, Albertini MC, Chalon S, Longini M, et al. Melatonin modulates neonatal brain inflammation through endoplasmic reticulum stress, autophagy, and miR-34a/silent information regulator 1 pathway. J Pineal Res. 2016 Oct;61(3):370–80.",27441728
