citation,pmid
Davie JR. Inhibition of histone deacetylase activity by butyrate. J Nutr. 2003 Jul;133(7 Suppl):2485S-2493S.,12840228
"Donohoe DR, Collins LB, Wali A, Bigler R, Sun W, Bultman SJ. The Warburg effect dictates the mechanism of butyrate-mediated histone acetylation and cell proliferation. Mol Cell. 2012 Nov 30;48(4):612–26.",23063526
