citation,pmid
1. Sternberg PW. Vulval development. WormBook. 2005 Jun 25;1–28. 
,18050418
"1. Ihara S, Hagedorn EJ, Morrissey MA, Chi Q, Motegi F, Kramer JM, et al. Basement membrane sliding and targeted adhesion remodels tissue boundaries during uterine-vulval attachment in Caenorhabditis elegans. Nat Cell Biol. 2011 Jun;13(6):641–51. 
",21572423
"1. Ihara S, Hagedorn EJ, Morrissey MA, Chi Q, Motegi F, Kramer JM, et al. Basement membrane sliding and targeted adhesion remodels tissue boundaries during uterine-vulval attachment in Caenorhabditis elegans. Nat Cell Biol. 2011 Jun;13(6):641–51. 
",21572423
