citation,pmid
"1. Huet C, Menendez J, Gancedo C, François JM. Regulation of pyc1 encoding pyruvate carboxylase isozyme I by nitrogen sources in Saccharomyces cerevisiae. Eur J Biochem. 2000 Dec;267(23):6817–23. 
",11082192
"1. Schlösser T, Gätgens C, Weber U, Stahmann K-P. Alanine : glyoxylate aminotransferase of Saccharomyces cerevisiae-encoding gene AGX1 and metabolic significance. Yeast. 2004 Jan 15;21(1):63–73. 
",14745783
