citation,pmid
"Wyss M, Kaddurah-Daouk R. Creatine and creatinine metabolism. Physiol Rev. 2000 Jul;80(3):1107–213.",10893433
"Qiu W, Zhou B, Darwish D, Shao J, Yen Y. Characterization of enzymatic properties of human ribonucleotide reductase holoenzyme reconstituted in vitro from hRRM1, hRRM2, and p53R2 subunits. Biochem Biophys Res Commun. 2006 Feb 10;340(2):428–34.",16376858
