citation,pmid
"Caron E, Hall A. Identification of two distinct mechanisms of phagocytosis controlled by different Rho GTPases. Science. 1998 Nov 27;282(5394):1717–21.",9831565
"Poltorak A, He X, Smirnova I, Liu MY, Van Huffel C, Du X, et al. Defective LPS signaling in C3H/HeJ and C57BL/10ScCr mice: mutations in Tlr4 gene. Science. 1998 Dec 11;282(5396):2085–8.",9851930
"Stephens L, Ellson C, Hawkins P. Roles of PI3Ks in leukocyte chemotaxis and phagocytosis. Curr Opin Cell Biol. 2002 Apr;14(2):203–13.",11891120
"Ugarova TP, Lishko VK, Podolnikova NP, Okumura N, Merkulov SM, Yakubenko VP, et al. Sequence gamma 377-395(P2), but not gamma 190-202(P1), is the binding site for the alpha MI-domain of integrin alpha M beta 2 in the gamma C-domain of fibrinogen. Biochemistry. 2003 Aug 12;42(31):9365–73.",12899623
"Flick MJ, Du X, Witte DP, Jirousková M, Soloviev DA, Busuttil SJ, et al. Leukocyte engagement of fibrin(ogen) via the integrin receptor alphaMbeta2/Mac-1 is critical for host inflammatory response in vivo. J Clin Invest. 2004 Jun;113(11):1596–606.",15173886
"Adams RA, Bauer J, Flick MJ, Sikorski SL, Nuriel T, Lassmann H, et al. The fibrin-derived gamma377-395 peptide inhibits microglia activation and suppresses relapsing paralysis in central nervous system autoimmune disease. J Exp Med. 2007 Mar 19;204(3):571–82.",17339406
"Park BS, Song DH, Kim HM, Choi B-S, Lee H, Lee J-O. The structural basis of lipopolysaccharide recognition by the TLR4-MD-2 complex. Nature. 2009 Apr 30;458(7242):1191–5.",19252480
"Han C, Jin J, Xu S, Liu H, Li N, Cao X. Integrin CD11b negatively regulates TLR-triggered inflammatory responses by activating Syk and promoting degradation of MyD88 and TRIF via Cbl-b. Nat Immunol. 2010 Aug;11(8):734–42.",20639876
"Means TK, Luster AD. Integrins limit the Toll. Nat Immunol. 2010 Aug;11(8):691–3.",20644576
"Ryu JK, Petersen MA, Murray SG, Baeten KM, Meyer-Franke A, Chan JP, et al. Blood coagulation protein fibrinogen promotes autoimmunity and demyelination via chemokine release and antigen presentation. Nat Commun. 2015 Sep 10;6:8164.",26353940
